No|             BAT_NAME|      RA|     DEC|     SNR|              COUNTERPART_NAME|                     OTHER_NAME| CTPT_RA|CTPT_DEC|    FLUX| FLUX_LO| FLUX_HI|CONTA|  GAMMA|GAMM_LO|GAMM_HI|  CHI_SQ_R|REDSHIFT|       LUM|ASSOC_STREN|   CL2|                 TYPE
#    |                     |     deg|     deg|        |                              |                               |     deg|     deg|10^-12er|10^-12er|10^-12er|     |       |       |       |          |        |log[erg/s]|      |           |
1|   SWIFT J0001.0-0708|  0.2199| -7.1396|    9.02|       2MASX J00004876-0709117|                               |  0.2032| -7.1532|   15.63|   12.78|   18.75|  |   2.17|   1.92|   2.44|      1.85|  0.0375|     43.72|  1        |          5|Sy1.9
2|   SWIFT J0001.6-7701|  0.3639|-77.0048|    5.30|                  Fairall 1203|                               |  0.4419|-76.9540|    9.77|    7.06|   12.75|  |   1.88|   1.51|   2.30|      3.15|  0.0584|     43.91|  1        |          4|Sy1
3|   SWIFT J0002.5+0323|  0.6136|  3.3724|    6.11|                      NGC 7811|                               |  0.6103|  3.3519|   11.93|    8.44|   15.77|  |   1.75|   1.35|   2.20|      0.88|  0.0255|     43.26|  1        |          4|Sy1.5
4|   SWIFT J0003.3+2737|  0.8799| 27.6323|    6.54|       2MASX J00032742+2739173|                               |  0.8643| 27.6548|   11.52|    8.59|   14.77|  |   1.98|   1.61|   2.38|      0.54|  0.0396|     43.64|  1        |          5|Sy2
5|   SWIFT J0005.0+7021|  0.9817| 70.3316|    7.10|       2MASX J00040192+7019185|                               |  1.0082| 70.3217|   12.26|    9.45|   15.32|  |   1.88|   1.56|   2.23|      0.97|  0.0960|     44.47|  1        |          5|Sy1.9
6|   SWIFT J0006.2+2012|  1.5700| 20.2284|   10.01|                       Mrk 335|                               |  1.5813| 20.2029|   13.92|   11.43|   16.64|  |   2.35|   2.09|   2.65|      1.83|  0.0258|     43.34|  1        |          4|Sy1.2
7|   SWIFT J0009.4-0037|  2.3208| -0.6279|    5.66|       2MASX J00091156-0036551|                               |  2.2982| -0.6152|   10.57|    7.18|   14.40|  |   1.76|   1.32|   2.25|      0.57|  0.0733|     44.15|  1        |          5|Sy2
8|   SWIFT J0010.5+1057|  2.6126| 10.9682|   14.79|                      Mrk 1501|                               |  2.6292| 10.9749|   27.27|   23.99|   30.72|  |   1.84|   1.68|   2.01|      1.33|  0.0893|     44.75|  1        |          7|BZQ
9|   SWIFT J0017.1+8134|  4.6246| 81.5648|    8.69|               [HB89] 0014+813|                               |  4.2853| 81.5856|   11.28|    8.72|   14.12|  |   2.18|   1.82|   2.61|      2.41|  3.3660|     48.07|  1        |          7|BZQ
10|   SWIFT J0021.2-1909|  5.2891|-19.1688|   10.38|       2MASX J00210753-1910056|                               |  5.2814|-19.1682|   16.25|   13.37|   19.36|  |   2.18|   1.93|   2.47|      0.20|  0.0956|     44.59|  1        |          5|Sy1.9
11|   SWIFT J0023.2+6142|  5.8183| 61.6632|    8.19|               IGR J00234+6141|                               |  5.7000| 61.6600|   11.33|    8.95|   13.95|  |   2.29|   1.96|   2.66|      0.46|     NA |        NA|  1        |          9|CV
12|   SWIFT J0025.2+6410|  6.3023| 64.1396|   11.93|                     Tycho SNR|                               |  6.2840| 64.1650|   12.82|   10.97|   14.86|  |   3.06|   2.74|   3.43|      2.37|     NA |        NA|  1        |         11|SNR
13|   SWIFT J0025.8+6818|  6.4009| 68.3891|    9.83|       2MASX J00253292+6821442|                               |  6.3870| 68.3623|   18.71|   15.56|   22.05|  |   1.64|   1.40|   1.89|      0.40|  0.0120|     42.79|  1        |          5|Sy2
14|   SWIFT J0026.5-5308|  6.6916|-53.1670|    8.70|       2MASX J00264073-5309479|                               |  6.6695|-53.1633|   13.59|   10.69|   16.72|  |   1.82|   1.52|   2.14|      1.30|  0.0629|     44.12|  1        |          4|Sy1
15|   SWIFT J0028.9+5917|  7.1820| 59.2693|   58.84|                      V709 Cas|                               |  7.2036| 59.2894|   76.77|   74.64|   78.94|  |   2.57|   2.52|   2.62|     18.18|     NA |        NA|  1        |          9|CV
16|   SWIFT J0029.2+1319|  7.2857| 13.2623|    7.78|               [HB89] 0026+129|                               |  7.3067| 13.2675|   11.03|    8.60|   13.75|  |   2.37|   2.04|   2.76|      0.66|  0.1420|     44.79|  1        |          4|Sy1.2
17|   SWIFT J0030.0-5904|  7.6832|-59.0080|    7.95|                      ESO112-6|                               |  7.6826|-59.0072|   14.78|   11.72|   18.03|  |   1.56|   1.28|   1.84|      0.75|  0.0290|     43.47|  1        |          5|Sy2
18|   SWIFT J0033.6+6127|  8.3292| 61.4904|   10.04|       2MASX J00331831+6127433|                               |  8.3266| 61.4620|   15.12|   12.61|   17.82|  |   2.16|   1.91|   2.42|      0.83|  0.1050|     44.64|  1        |          5|Sy1.9
19|   SWIFT J0034.5-7904|  8.8685|-79.1164|    5.71|       2MASX J00341665-7905204|                               |  8.5697|-79.0890|    7.61|    5.55|    9.97|  |   2.52|   2.09|   3.07|      0.50|  0.0740|     44.02|  1        |          4|Sy1
20|   SWIFT J0034.6-0422|  8.6285| -4.4240|    7.91|       2MASX J00343284-0424117|                               |  8.6368| -4.4033|   16.27|   12.87|   19.94|  |   1.74|   1.46|   2.04|      0.39|  0.2130|     45.35|  1        |          5|Sy2
21|   SWIFT J0036.0+5951|  8.9832| 59.8392|   39.05|                  1ES 0033+595|                               |  8.9694| 59.8346|   50.03|   47.80|   52.32|  |   2.55|   2.48|   2.63|      0.33|  0.0860|     44.98|  1        |          7|BZB
22|   SWIFT J0036.3+4540|  9.0840| 45.6796|   11.38|                  CGCG 535-012|                               |  9.0874| 45.6650|   19.19|   16.30|   22.25|  |   1.83|   1.62|   2.05|      1.38|  0.0476|     44.02|  1        |          4|Sy1.2
23|   SWIFT J0037.2+6123|  9.2603| 61.3655|   11.88|                     BD +60 73|                               |  9.2902| 61.3601|   16.97|   14.66|   19.43|  |   2.36|   2.15|   2.60|      2.21|     NA |        NA|  1        |         13|HMXB
24|   SWIFT J0038.4+2337|  9.6534| 23.5941|    9.41|                       Mrk 344|                               |  9.6339| 23.6133|   15.19|   12.17|   18.47|  |   1.93|   1.65|   2.24|      0.51|  0.0249|     43.34|  1        |          5|Sy2
25|   SWIFT J0041.0+2444| 10.2195| 24.7880|    3.97|      WISEAJ004039.88+244539.3|                               | 10.1662| 24.7609|    5.28|    3.02|    8.15|  |   2.41|   1.72|   3.39|      0.49|  0.0784|     43.91|  1        |          5|Sy1.9
26|   SWIFT J0041.9-0921| 10.4494| -9.3438|    6.58|                      ABELL 85|                               | 10.4075| -9.3425|    7.22|    5.88|    8.75|  |   4.35|   3.67|   5.25|      0.26|     NA |        NA|  1        |          3|Galaxy Cluster
27|   SWIFT J0042.6+4112| 10.6788| 41.2196|    8.30|            SWIFT J0042.7+4111|                               | 10.6679| 41.2002|    8.92|    7.26|   10.79|  |   3.19|   2.78|   3.69|      1.43|     NA |        NA|  1        |         10|Pulsar
28|   SWIFT J0042.9-2332| 10.7137|-23.5370|   27.06|                      NGC 235A|                               | 10.7200|-23.5410|   47.25|   44.04|   50.57|  |   1.85|   1.75|   1.94|      4.20|  0.0222|     43.74|  1        |          5|Sy1.9
29|  SWIFT J0042.9+3016A| 10.8094| 30.2961|   10.45|       2MASX J00430184+3017195|                               | 10.7578| 30.2888|    4.65|    2.33|    6.96| Y |   2.14|   1.63|   3.21|      2.23|  0.0489|     43.43|  1        |          5|Sy2
30|  SWIFT J0042.9+3016B| 10.7291| 30.2924|   11.12|       2MASX J00423991+3017515|                               | 10.6663| 30.2976|   13.76|   10.83|   16.93| Y |   2.17|   1.84|   2.57|      1.91|  0.1408|     44.88|  1        |          7|BZQ
31|   SWIFT J0042.9-1135| 10.7689|-11.5944|    5.20|                MCG -02-02-095|                               | 10.7865|-11.6010|    8.60|    5.72|   11.93|  |   2.12|   1.63|   2.73|      0.57|  0.0189|     42.85|  1        |          5|Sy2
32|   SWIFT J0046.2-4008| 11.5556|-40.0948|    8.59|                     ESP 39607|                               | 11.5860|-40.0970|   12.87|   10.21|   15.77|  |   1.98|   1.70|   2.29|      2.29|  0.2013|     45.19|  1        |          5|Sy2
33|   SWIFT J0048.8+3155| 12.1954| 31.9569|   87.68|                       Mrk 348|                               | 12.1964| 31.9570|  154.75|  151.67|  157.85|  |   1.83|   1.80|   1.86|     10.57|  0.0150|     43.91|  1        |          5|Sy1.9
34|   SWIFT J0051.6+2928| 12.8843| 29.4693|    4.96|                MCG +05-03-013|                               | 12.8959| 29.4013|    7.45|    4.68|   10.75|  |   2.13|   1.55|   2.91|      0.72|  0.0360|     43.36|  1        |          4|Sy1
35|   SWIFT J0051.8-7320| 12.5939|-73.1939|    9.64|               RX J0052.1-7319|                               | 13.0921|-73.3181|   13.45|   11.06|   16.05|  |   2.33|   2.06|   2.64|      2.26|     NA |        NA|  1        |         13|HMXB
36|   SWIFT J0051.9+1724| 12.9610| 17.4233|   21.18|                      Mrk 1148|                               | 12.9783| 17.4329|   29.08|   26.37|   31.92|  |   2.28|   2.14|   2.43|      1.16|  0.0640|     44.47|  1        |          4|Sy1.5
37|   SWIFT J0052.3-2730| 13.0616|-27.4949|    3.99|       2MASX J00520383-2723488|                               | 13.0158|-27.3969|    6.90|    4.17|   10.14|  |   1.93|   1.37|   2.56|      2.08|  0.0768|     44.01|  1        |          5|Sy2
38|   SWIFT J0053.3-7224| 13.7321|-72.4751|   13.23|               RX J0053.8-7226|                               | 13.4790|-72.4460|   15.63|   13.72|   17.68|  |   2.96|   2.71|   3.24|      0.72|     NA |        NA|  1        |         13|HMXB
39|   SWIFT J0054.9+2524| 13.7048| 25.4513|    8.14|               [HB89] 0052+251|                               | 13.7171| 25.4272|   14.96|   11.89|   18.30|  |   1.79|   1.51|   2.07|      1.33|  0.1550|     45.00|  1        |          4|Sy1.2
40|   SWIFT J0055.4+4612| 13.8361| 46.2135|   19.71|         1RXS J005528.0+461143|                               | 13.8329| 46.2158|   21.83|   20.05|   23.70|  |   2.97|   2.81|   3.15|      2.71|     NA |        NA|  1        |          9|CV
41|   SWIFT J0056.7+6043| 14.1654| 60.7190|   80.58|                     Gamma Cas|                               | 14.1772| 60.7167|   89.33|   87.73|   90.97|  |   3.32|   3.27|   3.36|     26.42|     NA |        NA|  1        |         13|HMXB
42|   SWIFT J0057.0+6405| 14.2497| 64.0198|    6.34|           NVSS J005712+635942|                               | 14.3036| 63.9952|    9.25|    6.97|   11.77|  |   2.27|   1.91|   2.70|      0.94|     NA |        NA|  1        |          7|BZQ
43|   SWIFT J0059.4+3150| 14.9705| 31.8359|   16.51|                       Mrk 352|                               | 14.9720| 31.8269|   27.69|   24.73|   30.76|  |   1.94|   1.79|   2.10|      1.37|  0.0149|     43.15|  1        |          4|Sy1.2
44|   SWIFT J0100.9-4750| 15.1559|-47.8855|   11.20|          ESO 195-IG 021 NED03|                               | 15.1457|-47.8676|   16.07|   13.33|   19.00|  |   1.93|   1.68|   2.18|      0.79|  0.0483|     43.96|  1        |          5|Sy2
45|   SWIFT J0101.5-0308| 15.2982| -3.1431|    3.53|       2MASX J01012440-0308399|                               | 15.3517| -3.1445|    6.35|    3.45|    9.83|  |   1.93|   1.29|   2.76|      0.33|  0.0694|     43.88|  1        |          4|Sy1.8
46|  SWIFT J0102.6-7242A| 16.1743|-72.7559|    5.69|               IGR J01054-7253|                               | 16.1725|-72.9013|    6.46|    4.91|    8.29|  |   3.32|   2.75|   4.05|      1.51|     NA |        NA|  1        |         13|HMXB
47|  SWIFT J0102.6-7242B| 15.7173|-72.7379|    8.93|                 XTE J0103-728|                               | 15.7212|-72.7425|   10.00|    8.36|   11.84|  |   3.22|   2.85|   3.66|      1.34|     NA |        NA|  1        |         13|HMXB
48|   SWIFT J0103.8-6437| 15.9381|-64.6279|    7.24|                  PKS 0101-649|                               | 15.8904|-64.6521|   10.05|    7.46|   12.92|  |   2.05|   1.69|   2.48|      0.52|  0.1630|     44.88|  1        |          7|BZQ
49|   SWIFT J0105.5-4213| 16.3517|-42.2100|    9.00|                MCG -07-03-007|                               | 16.3617|-42.2162|   17.26|   14.00|   20.71|  |   1.52|   1.26|   1.78|      0.56|  0.0302|     43.57|  1        |          5|Sy2
50|   SWIFT J0106.2-4704| 16.4994|-47.0347|    5.67|                ESO 243- G 026|                               | 16.4082|-47.0717|    6.48|    4.40|    9.02|  |   2.54|   1.99|   3.28|      0.56|  0.0193|     42.75|  1        |          5|Sy2
51|   SWIFT J0105.7-1414| 16.4043|-14.2737|    8.30|       2MASX J01053882-1416133|                               | 16.4117|-14.2704|   11.28|    8.72|   14.17|  |   2.40|   2.04|   2.81|      0.64|  0.0660|     44.09|  1        |          4|Sy1
52|   SWIFT J0105.6-3433| 16.4365|-34.5361|    9.60|                  HE 0103-3447|                               | 16.4442|-34.5292|   16.03|   13.10|   19.15|  |   1.90|   1.65|   2.18|      1.23|  0.0570|     44.11|  1        |          4|Sy1
53|   SWIFT J0106.8+0639| 16.6753|  6.6352|   10.28|       2MASX J01064523+0638015|                               | 16.6886|  6.6339|   17.12|   13.80|   20.68|  |   1.84|   1.57|   2.13|      0.47|  0.0410|     43.84|  1        |          5|Sy2
54|  SWIFT J0107.7-1137A| 17.0048|-11.5605|    7.76|                            NA|                               |      NA|      NA|   13.67|   10.44|   17.18|  |   1.76|   1.44|   2.09|      0.94|     NA |        NA|  1        |          0|Unknown
55|  SWIFT J0107.7-1137B| 16.9187|-11.6459|    7.81|       2MASX J01073963-1139117|                               | 16.9152|-11.6532|    5.85|    2.94|    8.92| Y |   1.77|   1.23|   2.52|      2.39|  0.0475|     43.51|  1        |          5|Sy2
56|  SWIFT J0107.7-1137C| 16.7151|-11.6993|    7.56|                            NA|                               |      NA|      NA|    8.26|    5.52|   11.51| Y |   2.17|   1.68|   2.79|      0.67|     NA |        NA|  1        |          0|Unknown
57|   SWIFT J0109.0+1320| 17.2043| 13.3439|   17.40|                        3C 033|                               | 17.2203| 13.3372|   30.02|   26.77|   33.40|  |   1.87|   1.72|   2.02|      0.30|  0.0597|     44.42|  1        |          5|Sy2
58|   SWIFT J0111.4-3808| 17.8719|-38.0873|   11.76|                       NGC 424|                               | 17.8650|-38.0830|   19.16|   16.43|   22.04|  |   1.95|   1.76|   2.15|      1.35|  0.0118|     42.79|  1        |          5|Sy1.9
59|   SWIFT J0113.8+2515| 18.4443| 25.2900|    5.87|          87GB 011040.5+250307|                               | 18.3446| 25.3148|    9.60|    6.76|   12.84|  |   2.00|   1.57|   2.49|      0.28|     NA |        NA|  1        |          7|BZQ
60|   SWIFT J0113.8+1313| 18.4726| 13.2526|    8.68|                       Mrk 975|                               | 18.4626| 13.2717|   14.55|   11.37|   18.02|  |   1.84|   1.54|   2.16|      1.86|  0.0496|     43.94|  1        |          4|Sy1.2
61|   SWIFT J0113.8-1450| 18.4637|-14.8651|   14.14|                      Mrk 1152|                               | 18.4587|-14.8456|   24.09|   21.05|   27.31|  |   1.94|   1.77|   2.12|      1.11|  0.0527|     44.21|  1        |          4|Sy1.2
62|   SWIFT J0114.5-3236| 18.5360|-32.6603|    7.33|                       IC 1657|                               | 18.5292|-32.6509|   15.30|   11.77|   19.08|  |   1.44|   1.11|   1.78|      0.27|  0.0120|     42.70|  1        |          5|Sy2
63|   SWIFT J0114.4-5522| 18.5922|-55.4141|    9.56|                      NGC 454E|                               | 18.6038|-55.3971|   13.80|   11.20|   16.61|  |   1.94|   1.69|   2.22|      0.90|  0.0121|     42.67|  1        |          5|Sy2
64|   SWIFT J0116.3+3104| 19.0608| 31.0201|    6.38|                       NGC 452|                               | 19.0618| 31.0338|   11.33|    8.57|   14.36|  |   1.98|   1.65|   2.35|      1.31|  0.0166|     42.86|  1        |          5|Sy2
65|   SWIFT J0116.5-1235| 19.1286|-12.6064|    6.63|       2MASX J01163118-1236171|                               | 19.1298|-12.6047|   10.48|    7.67|   13.65|  |   2.04|   1.67|   2.48|      0.74|  0.1424|     44.77|  1        |          5|Sy1.9
66|   SWIFT J0117.8-7327| 19.1151|-73.4526|  359.85|                       SMC X-1|                               | 19.2714|-73.4433|  404.97|  403.32|  406.61|  |   3.31|   3.30|   3.31|   1168.12|     NA |        NA|  1        |         13|HMXB
67|   SWIFT J0117.8+6516| 19.5129| 65.2911|  122.72|                   2S 0114+650|                               | 19.5112| 65.2916|  147.01|  144.93|  149.10|  |   2.68|   2.65|   2.70|     15.78|     NA |        NA|  1        |         13|HMXB
68|   SWIFT J0118.5+6344| 19.6058| 63.7417|   76.29|                   4U 0115+634|                               | 19.6330| 63.7400|   80.41|   78.85|   82.00|  |   3.43|   3.38|   3.48|     13.38|     NA |        NA|  1        |         13|HMXB
69|   SWIFT J0122.0-2818| 20.5237|-28.3465|    5.66|               [HB89] 0119-286|                               | 20.4646|-28.3492|    9.15|    6.24|   12.47|  |   1.89|   1.44|   2.40|      0.21|  0.1160|     44.52|  1        |          4|Sy1
70|   SWIFT J0122.8+5003| 20.6543| 50.0951|    8.42|                MCG +08-03-018|                               | 20.6435| 50.0550|   11.73|    9.17|   14.58|  |   2.20|   1.87|   2.58|      0.48|  0.0204|     43.06|  1        |          5|Sy2
71|   SWIFT J0122.9+3420| 20.7743| 34.3642|    8.99|         SHBL J012308.7+342049|                               | 20.7860| 34.3469|   11.91|    9.79|   14.24|  |   2.64|   2.34|   2.98|      0.64|  0.2720|     45.45|  1        |          7|BZB
72|   SWIFT J0123.8-3504| 20.9760|-35.0625|   52.59|                      NGC 526A|                               | 20.9766|-35.0654|   88.29|   85.27|   91.33|  |   1.87|   1.82|   1.91|      3.10|  0.0191|     43.87|  1        |          5|Sy1.9
73|   SWIFT J0123.9-5846| 20.9458|-58.7984|   34.46|                     Fairall 9|                               | 20.9408|-58.8057|   49.10|   46.47|   51.79|  |   2.00|   1.93|   2.08|      2.21|  0.0470|     44.42|  1        |          4|Sy1.2
74|   SWIFT J0124.5+3350| 21.1134| 33.7818|   11.39|                       NGC 513|                               | 21.1119| 33.7995|   21.17|   18.06|   24.46|  |   1.75|   1.55|   1.96|      1.17|  0.0195|     43.27|  1        |          5|Sy2
75|   SWIFT J0126.0+3511| 21.5661| 35.1435|    3.39|         1RXS J012556.6+351039|                               | 21.4832| 35.1761|    4.27|    2.42|    6.75|  |   2.75|   1.95|   3.91|      0.79|  0.3120|     45.14|  1        |          4|Sy1
76|   SWIFT J0126.2+1517| 21.5393| 15.3962|    4.29|                        RHS 10|                               | 21.4919| 15.3038|    6.98|    4.14|   10.37|  |   2.06|   1.48|   2.83|      0.71|  0.1110|     44.36|  1        |          4|Sy1
77|   SWIFT J0127.5+1910| 21.9037| 19.1537|    8.66|                       Mrk 359|                               | 21.8856| 19.1788|   12.31|    9.78|   15.07|  |   2.32|   2.02|   2.66|      3.07|  0.0174|     42.94|  1        |          4|Sy1.5
78|   SWIFT J0128.0-1850| 22.0198|-18.8061|   12.40|                MCG -03-04-072|                               | 22.0280|-18.8086|   19.61|   16.59|   22.81|  |   1.98|   1.77|   2.20|      1.08|  0.0460|     44.00|  1        |          4|Sy1
79|   SWIFT J0128.4+1631| 22.1321| 16.4724|    7.60|                  CGCG 459-058|                               | 22.1017| 16.4593|   12.62|    9.53|   16.05|  |   1.92|   1.58|   2.29|      0.53|  0.0386|     43.65|  1        |          5|Sy2
80|   SWIFT J0128.9-6039| 22.2055|-60.6576|    4.33|       2MASX J01290761-6038423|                               | 22.2818|-60.6450|    5.91|    3.89|    8.24|  |   2.32|   1.84|   2.94|      1.08|  0.2034|     44.86|  1        |          5|Sy2
81|   SWIFT J0130.0-4218| 22.5030|-42.3211|    4.89|                ESO 244-IG 030|                               | 22.4636|-42.3265|    6.14|    4.08|    8.58|  |   2.53|   1.99|   3.28|      0.64|  0.0256|     42.98|  1        |          5|Sy2
82|   SWIFT J0130.2-4552| 22.5660|-45.9657|    3.57|       2MASX J01302127-4601448|                               | 22.5887|-46.0292|    4.91|    2.56|    7.83|  |   2.00|   1.29|   2.87|      0.77|  0.1115|     44.21|  1        |          4|Sy1
83|   SWIFT J0131.8-3307| 22.9921|-33.1124|    7.97|                ESO 353- G 009|                               | 22.9601|-33.1193|   12.89|   10.07|   15.99|  |   1.92|   1.62|   2.25|      1.09|  0.0165|     42.91|  1        |          5|Sy2
84|   SWIFT J0134.1-3625| 23.4926|-36.4988|   21.85|                       NGC 612|                               | 23.4906|-36.4933|   40.61|   37.39|   43.91|  |   1.62|   1.52|   1.73|      0.81|  0.0298|     43.93|  1        |          5|Sy2
85|   SWIFT J0134.8-0430| 23.7114| -4.5077|   11.37|       2MASX J01344565-0430134|                               | 23.6902| -4.5036|   21.51|   18.09|   25.12|  |   1.72|   1.51|   1.95|      0.91|  0.0790|     44.53|  1        |          4|Sy1
86|   SWIFT J0136.5+3906| 24.0987| 39.0645|    4.00|                   B3 0133+388|                               | 24.1354| 39.0999|    4.27|    2.38|    6.84|  |   2.88|   1.99|   4.45|      1.07|     NA |        NA|  1        |          7|BZB
87|   SWIFT J0138.6-4001| 24.6576|-40.0073|   38.45|                   ESO 297-018|                               | 24.6548|-40.0114|   64.86|   61.93|   67.86|  |   1.82|   1.76|   1.88|      3.43|  0.0252|     43.99|  1        |          5|Sy2
88|   SWIFT J0138.8+2925| 24.7375| 29.4015|    3.48|       2MASX J01392400+2924067|                               | 24.8500| 29.4019|    5.70|    3.06|    8.90|  |   2.05|   1.38|   2.97|      0.71|  0.0759|     43.92|  1        |          5|Sy1.9
89|   SWIFT J0140.6-5321| 25.1302|-53.3465|    9.88|       2MASX J01402676-5319389|                               | 25.1116|-53.3276|   14.75|   12.11|   17.58|  |   1.92|   1.67|   2.19|      0.34|  0.0744|     44.31|  1        |          5|Sy1.9
90|   SWIFT J0142.0+3922| 25.5052| 39.4105|    7.13|                   B2 0138+39B|                               | 25.4906| 39.3914|   11.25|    8.46|   14.34|  |   1.97|   1.62|   2.36|      0.61|  0.0800|     44.26|  1        |          7|BZQ
91|   SWIFT J0146.0+6143| 26.6175| 61.7581|   39.70|                  PSR J0146+61|                               | 26.5934| 61.7509|  115.11|  111.01|  119.25|  |   0.81|   0.75|   0.86|      1.78|     NA |        NA|  1        |         10|Pulsar
92|  SWIFT J0149.2+2153A| 27.1539| 21.6562|    3.08|       2MASX J01485967+2145343|                               | 27.2487| 21.7593|    7.61|    3.42|   12.47| Y |   0.93|  -0.26|   1.87|      1.13|  0.0694|     43.96|  1        |          5|Sy1.9
93|  SWIFT J0149.2+2153B| 27.2939| 21.9270|    4.86|                       NGC 678|                               | 27.3536| 21.9973|    7.07|    4.25|   10.50| Y |   2.21|   1.58|   3.07|      1.12|  0.0095|     42.17|  1        |          5|Sy2
94|   SWIFT J0149.9-5019| 27.3544|-50.2842|    8.79|       2MASX J01492228-5015073|                               | 27.3428|-50.2521|   14.66|   11.51|   18.03|  |   1.56|   1.26|   1.89|      0.81|  0.0299|     43.49|  1        |          4|Sy1.2
95|   SWIFT J0151.3-3610| 27.8469|-36.1522|    5.02|                ESO 354- G 004|                               | 27.9245|-36.1878|    8.20|    5.61|   11.07|  |   1.99|   1.58|   2.49|      0.84|  0.0335|     43.34|  1        |          4|Sy1
96|   SWIFT J0152.8-0329| 28.1996| -3.4579|   14.19|                MCG -01-05-047|                               | 28.2042| -3.4468|   24.45|   21.35|   27.73|  |   1.94|   1.77|   2.12|      2.18|  0.0172|     43.22|  1        |          5|Sy2
97|   SWIFT J0154.9-2707| 28.6540|-27.1394|   12.10|        2MASSi J0154403-270701|                               | 28.6679|-27.1169|   17.16|   14.58|   19.94|  |   2.19|   1.98|   2.43|      0.99|  0.1510|     45.04|  1        |          4|Sy1
98|   SWIFT J0155.4+0228| 28.8422|  2.5088|    8.81|                  1ES 0152+022|                               | 28.8538|  2.4712|   14.44|   11.47|   17.67|  |   2.05|   1.77|   2.37|      0.86|  0.0820|     44.39|  1        |          4|Sy1
99|   SWIFT J0157.2+4715| 29.2936| 47.2535|    7.76|       2MASX J01571097+4715588|                               | 29.2956| 47.2666|   14.55|   11.48|   17.87|  |   1.73|   1.45|   2.04|      1.03|  0.0483|     43.92|  1        |          4|Sy1
100|   SWIFT J0157.8-7300| 29.2889|-73.0053|    7.07|               IGR J01572-7259|                               | 29.3173|-72.9757|    8.60|    6.81|   10.64|  |   2.83|   2.45|   3.28|      1.20|     NA |        NA|  1        |         13|HMXB
101|   SWIFT J0200.3+2428| 30.1468| 24.4698|    7.19|                     UGC 01479|                               | 30.0794| 24.4737|   14.29|   10.77|   18.12|  |   1.62|   1.28|   1.99|      0.97|  0.0164|     42.95|  1        |          5|Sy2
102|   SWIFT J0201.0-0648| 30.2687| -6.8181|   37.49|                       NGC 788|                               | 30.2769| -6.8155|   70.04|   66.70|   73.45|  |   1.82|   1.76|   1.89|      1.44|  0.0136|     43.48|  1        |          5|Sy2
103|  SWIFT J0202.4+6824A| 30.5307| 68.4142|   10.38|       2MASX J02021731+6821460|                               | 30.5720| 68.3620|   16.05|   12.35|   20.01| Y |   1.20|   0.83|   1.57|      5.11|  0.0119|     42.72|  1        |          5|Sy2
104|  SWIFT J0202.4+6824B| 30.4398| 68.4250|   10.38|       2MASX J02013241+6824219|                               | 30.3850| 68.4061|    7.48|    4.64|   10.74| Y |   1.59|   1.06|   2.12|      6.20|  0.0152|     42.60|  1        |          5|Sy1.9
105|   SWIFT J0203.1-2359| 30.7644|-24.0261|    8.15|         1RXS J020301.2-240213|                               | 30.7537|-24.0367|   11.67|    8.92|   14.73|  |   2.12|   1.77|   2.51|      0.38|  0.1781|     45.03|  1        |          4|Sy1.5
106|   SWIFT J0206.2-0019| 31.5903| -0.2716|   10.21|                      Mrk 1018|                               | 31.5666| -0.2914|   21.60|   17.76|   25.66|  |   1.46|   1.20|   1.72|      0.96|  0.0424|     43.97|  1        |          4|Sy1.2
107|   SWIFT J0207.0+2931| 31.7443| 29.5126|    9.02|                         3C 59|                               | 31.7911| 29.5280|   13.82|   11.02|   16.87|  |   2.14|   1.84|   2.46|      0.64|  0.1096|     44.64|  1        |          4|Sy1
108|  SWIFT J0208.4-7428A| 31.7558|-74.4599|    8.52|             1WGA J0206.7-7427|                               | 31.6904|-74.4626|   10.71|    8.98|   12.62| Y |   2.99|   2.68|   3.37|      2.31|     NA |        NA|  1        |         13|HMXB
109|  SWIFT J0208.4-7428B| 32.8119|-74.6313|    3.21|               RX J0209.6-7427|                               | 32.4010|-74.4520|    5.87|    2.12|   10.25| Y |   0.77|   0.00|   2.00|      1.03|     NA |        NA|  1        |         13|HMXB
110|   SWIFT J0208.2+4452| 31.9671| 44.8338|    5.06|                MCG +07-05-016|                               | 31.9649| 44.8438|    7.58|    5.41|   10.07|  |   2.49|   2.04|   3.05|      0.88|  0.0217|     42.92|  1        |          5|Sy1.9
111|   SWIFT J0208.5-1738| 32.1611|-17.6354|    8.06|           NVSS J020834-173933|                               | 32.1455|-17.6594|   13.80|   10.95|   16.92|  |   1.93|   1.63|   2.24|      0.52|  0.1290|     44.79|  1        |          4|Sy1.2
112|   SWIFT J0209.5-1010| 32.3688|-10.1733|    6.19|                       ARP 318|                               | 32.3805|-10.1585|   13.11|    9.49|   17.08|  |   1.51|   1.10|   1.93|      0.41|  0.0133|     42.73|  1        |          5|Sy2
113|   SWIFT J0209.7+5226| 32.4056| 52.4511|   34.31|                   LEDA 138501|                               | 32.3929| 52.4425|   55.93|   53.17|   58.75|  |   2.14|   2.06|   2.21|      1.44|  0.0492|     44.52|  1        |          4|Sy1
114|   SWIFT J0211.1-4944| 32.7213|-49.7256|    5.69|                ESO 197- G 027|                               | 32.7189|-49.6985|    8.58|    5.96|   11.50|  |   1.83|   1.42|   2.31|      1.24|  0.0481|     43.68|  1        |          5|Sy2
