No|             BAT_NAME|      RA|     DEC|     SNR|              COUNTERPART_NAME|                     OTHER_NAME| CTPT_RA|CTPT_DEC|    FLUX| FLUX_LO| FLUX_HI|CONTA|  GAMMA|GAMM_LO|GAMM_HI|  CHI_SQ_R|REDSHIFT|       LUM|ASSOC_STREN|   CL2|                 TYPE
#    |                     |     deg|     deg|        |                              |                               |     deg|     deg|10^-12er|10^-12er|10^-12er|     |       |       |       |          |        |log[erg/s]|      |           |
1668|   SWIFT J0224.7-1910| 36.1870|-19.1606|    5.71|                    ESO 545-13|                               | 36.1692|-19.1420|    9.15|    6.46|   12.21|  |   2.04|   1.62|   2.51|      1.17|  0.0340|     43.40|  0        |          4|Sy1
1669|   SWIFT J0231.0-3250| 37.7496|-32.8325|    4.69|        2SXPS J023056.0-325242|                               | 37.7335|-32.8783|    6.67|    4.21|    9.59|  |   2.11|   1.56|   2.79|      0.79|      NA|        NA|  0        |          0|X-ray source
1670|   SWIFT J0238.4+0234| 39.6119|  2.5588|    4.39|       2MASX J02383267+0233496|                               | 39.6361|  2.5636|    6.22|    3.68|    9.31|  |   2.46|   1.83|   3.48|      1.42|  0.2082|     44.91|  4        |          4|Sy1
1671|   SWIFT J0239.0-3050| 39.7557|-30.8359|    5.09|                ESO 416- G 005|                               | 39.6881|-30.8065|    9.33|    6.36|   12.65|  |   1.66|   1.20|   2.14|      0.33|  0.0644|     43.98|  1        |          4|Sy1
1672|   SWIFT J0243.2-0553| 40.8043| -5.8867|    5.43|                          None|                               |      NA|      NA|   10.60|    6.99|   14.72|  |   1.48|   0.96|   2.01|      0.47|  1.8000|     47.39|  4        |          0|Unknown
1673|   SWIFT J0243.7+6126| 40.9233| 61.4326|  196.55|            SWIFT J0243.6+6124|                               | 40.9184| 61.4344|  259.80|  257.44|  262.16|  |   2.46|   2.45|   2.47|    201.99|galactic|  NA |  0        |         10|Pulsar
1674|   SWIFT J0303.2-1213| 45.8018|-12.2164|    5.22|       6dFGS gJ030315.6-121330|                               | 45.8149|-12.2250|    7.42|    4.83|   10.49|  |   2.17|   1.63|   2.82|      0.99|  0.0772|     44.05|  4        |          7|FSRQ
1675|   SWIFT J0310.3-5730| 47.5729|-57.4960|    4.18|                    ESO 116-10|                               | 47.5442|-57.5116|    5.89|    3.65|    8.49|  |   2.14|   1.59|   2.86|      1.03|      NA|  NA |  0        |          6|Other AGN
1676|   SWIFT J0318.1+7225| 49.5367| 72.4205|    4.74|            SWIFT J0319.1+7221|                               |      NA|      NA|    7.18|    4.63|   10.17|  |   2.16|   1.61|   2.86|      0.39|      NA|        NA|  6        |          0|Unknown
1677|   SWIFT J0319.8+0118| 49.9580|  1.2931|    4.20|                  LEDA 1192144|                               | 49.8951|  1.3503|    6.87|    4.27|    9.94|  |   2.31|   1.76|   3.08|      0.77|      NA|  NA |  4        |          6|Other AGN
1678|   SWIFT J0325.7+2222| 51.4174| 22.3741|    4.68|                QSO J0325+2224|                               | 51.4034| 22.4001|    8.09|    5.05|   11.69|  |   2.05|   1.50|   2.71|      1.41|  2.0660|     47.42|  0        |          7|FSRQ
1679|   SWIFT J0332.4+1525| 53.0917| 15.4146|    4.94|                          None|                               |      NA|      NA|   11.54|    7.97|   15.61|  |   1.62|   1.20|   2.06|      1.49|      NA|  NA |  6        |          0|Unknown
1680|   SWIFT J0333.7-0503| 53.4226| -5.0430|    6.83|                        2E 792|                               | 53.3975| -5.2061|   12.69|    9.38|   16.38|  |   1.84|   1.48|   2.24|      0.50|  0.1390|     44.83|  0        |          4|Sy1
1681|   SWIFT J0337.0-0952| 54.2523| -9.8637|    4.63|       6dFGS gJ033703.0-095001|                               | 54.2626| -9.8337|    6.74|    4.16|    9.88|  |   2.27|   1.68|   3.05|      0.58|  0.2800|     45.23|  0        |          4|Sy1
1682|   SWIFT J0339.3-1441| 54.8330|-14.6769|    5.14|                  LEDA 3080475|                               | 54.7780|-14.6113|    9.44|    6.11|   13.24|  |   1.68|   1.16|   2.27|      1.44|  0.0358|     43.46|  4        |          5|Sy2
1683|   SWIFT J0339.9+1036| 54.9755| 10.6001|    5.12|                          None|                               |      NA|      NA|    9.56|    6.28|   13.37|  |   1.92|   1.42|   2.50|      0.56|      NA|  NA |  7        |          0|Unknown
1684|   SWIFT J0342.4+6339| 55.5902| 63.6471|    5.14|       2MASS J03421014+6339335|                               | 55.5423| 63.6593|    9.00|    6.19|   12.19|  |   1.87|   1.42|   2.37|      0.99|  0.1280|     44.60|  0        |          4|Sy1
1685|   SWIFT J0343.1+1860| 55.7710| 18.9983|    5.51|                  LEDA 3095647|                               | 55.7846| 18.9740|    8.03|    5.17|   11.53|  |   2.46|   1.86|   3.30|      0.67|  0.1100|     44.41|  0        |          4|Sy1
1686|   SWIFT J0400.8-5335| 60.1880|-53.5796|    4.66|                          None|                               |      NA|      NA|    5.54|    3.81|    7.62|  |   2.66|   2.16|   3.28|      1.38|      NA|  NA |  6        |          0|Unknown
